Year,Stats,Roster,Team Pages,Field Manager,Bench Coach,Hitting Coach,Pitching Coach,First Base Coach,Third Base Coach,Bullpen Coach
2021,Stats,Roster,Franchise Page,Aaron Boone,Carlos Mendoza,"P.J. Pilittere, Marcus Thames",Matt Blake,Reggie Willits,Phil Nevin,Mike Harkey
2020,Stats,Roster,Franchise Page,Aaron Boone,Carlos Mendoza,"P.J. Pilittere, Marcus Thames",Matt Blake,Reggie Willits,Phil Nevin,Mike Harkey
2019,Stats,Roster,Franchise Page,Aaron Boone,Josh Bard,"P.J. Pilittere, Marcus Thames",Larry Rothschild,Reggie Willits,Phil Nevin,Mike Harkey
2018,Stats,Roster,Franchise Page,Aaron Boone,Josh Bard,"P.J. Pilittere, Marcus Thames",Larry Rothschild,Reggie Willits,Phil Nevin,Mike Harkey
2017,Stats,Roster,Franchise Page,Joe Girardi,Rob Thomson,"Alan Cockrell, Marcus Thames",Larry Rothschild,Tony Pena,Joe Espada,Mike Harkey
2016,Stats,Roster,Franchise Page,Joe Girardi,Rob Thomson,"Alan Cockrell, Marcus Thames",Larry Rothschild,Tony Pena,Joe Espada,Mike Harkey
2015,Stats,Roster,Franchise Page,Joe Girardi,Rob Thomson,"Alan Cockrell, Jeff Pentland",Larry Rothschild,Tony Pena,Joe Espada,Gary Tuck
2014,Stats,Roster,Franchise Page,Joe Girardi,Tony Pena,Kevin Long,Larry Rothschild,Mick Kelleher,Rob Thomson,Gary Tuck
2013,Stats,Roster,Franchise Page,Joe Girardi,Tony Pena,Kevin Long,Larry Rothschild,---,Rob Thomson,Mike Harkey
2012,Stats,Roster,Franchise Page,Joe Girardi,Tony Pena,Kevin Long,Larry Rothschild,Mick Kelleher,Rob Thomson,Mike Harkey
2011,Stats,Roster,Franchise Page,Joe Girardi,Tony Pena,Kevin Long,Larry Rothschild,Mick Kelleher,Rob Thomson,Mike Harkey
2010,Stats,Roster,Franchise Page,Joe Girardi,Tony Pena,Kevin Long,Dave Eiland,Mick Kelleher,Rob Thomson,Mike Harkey
2009,Stats,Roster,Franchise Page,Joe Girardi,Tony Pena,Kevin Long,Dave Eiland,Mick Kelleher,Rob Thomson,Mike Harkey
2008,Stats,Roster,Franchise Page,Joe Girardi,Rob Thomson,Kevin Long,"Dave Eiland, Tommy Phelps",Tony Pena,Bob Meacham,Mike Harkey
2007,Stats,Roster,Franchise Page,Joe Torre,Don Mattingly,Kevin Long,Ron Guidry,Tony Pena,Larry Bowa,Joe Kerrigan
2006,Stats,Roster,Franchise Page,Joe Torre,Lee Mazzilli,Don Mattingly,Ron Guidry,Tony Pena,Larry Bowa,Joe Kerrigan
2005,Stats,Roster,Franchise Page,Joe Torre,Joe Girardi,Don Mattingly,Mel Stottlemyre,Roy White,Luis Sojo,Neil Allen
2004,Stats,Roster,Franchise Page,Joe Torre,Willie Randolph,Don Mattingly,Mel Stottlemyre,Roy White,Luis Sojo,Rich Monteleone
2003,Stats,Roster,Franchise Page,Joe Torre,Don Zimmer,Rick Down,Mel Stottlemyre,Lee Mazzilli,Willie Randolph,Rich Monteleone
2002,Stats,Roster,Franchise Page,Joe Torre,Don Zimmer,Rick Down,Mel Stottlemyre,Lee Mazzilli,Willie Randolph,Rich Monteleone
Year,Stats,Roster,Team Pages,Field Manager,Bench Coach,Hitting Coach,Pitching Coach,First Base Coach,Third Base Coach,Bullpen Coach
2001,Stats,Roster,Franchise Page,Joe Torre,Don Zimmer,Gary Denbo,Mel Stottlemyre,Lee Mazzilli,Willie Randolph,Tony Cloninger
2000,Stats,Roster,Franchise Page,Joe Torre,Don Zimmer,Chris Chambliss,Mel Stottlemyre,Lee Mazzilli,Willie Randolph,Tony Cloninger
1999,Stats,Roster,Franchise Page,Joe Torre,Don Zimmer,Chris Chambliss,Mel Stottlemyre,Jose Cardenal,Willie Randolph,Tony Cloninger
1998,Stats,Roster,Franchise Page,Joe Torre,Don Zimmer,Chris Chambliss,Mel Stottlemyre,Jose Cardenal,Willie Randolph,Tony Cloninger
1997,Stats,Roster,Franchise Page,Joe Torre,Don Zimmer,Chris Chambliss,Mel Stottlemyre,Jose Cardenal,Willie Randolph,Tony Cloninger
1996,Stats,Roster,Franchise Page,Joe Torre,Don Zimmer,Chris Chambliss,Mel Stottlemyre,Jose Cardenal,Willie Randolph,Tony Cloninger
1995,Stats,Roster,Franchise Page,Buck Showalter,---,Rick Down,Tony Cloninger,Brian Butterfield,Willie Randolph,"Bill Connors, Nardi Contreras"
1994,Stats,Roster,Franchise Page,Buck Showalter,Clete Boyer,Rick Down,Tony Cloninger,Brian Butterfield,Willie Randolph,Bill Connors
1993,Stats,Roster,Franchise Page,Buck Showalter,---,Rick Down,Tony Cloninger,Ed Napoleon,Clete Boyer,Mark Connor
1992,Stats,Roster,Franchise Page,Buck Showalter,Russ Meyer,Frank Howard,Mark Connor,Ed Napoleon,Clete Boyer,Tony Cloninger
1991,Stats,Roster,Franchise Page,Stump Merrill,Mike Ferraro,Frank Howard,Mark Connor,Graig Nettles,Buck Showalter,Marc Hill
1990,Stats,Roster,Franchise Page,"Bucky Dent, Stump Merrill",---,Darrell Evans,Bill Connors,Mike Ferraro,"Buck Showalter , Joe Sparks","Mark Connor, Gary Tuck"
1989,Stats,Roster,Franchise Page,"Bucky Dent, Dallas Green",Charlie Fox,"Frank Howard, Champ Summers",Bill Connors,"Pat Corrales, Mike Ferraro","Lee Elia , Gene Michael",John Stearns
